event,location,latitude,longitude,event_type
"The Earl of Athlone is appointed Governor-General of the Union of South Africa , and High Commissioner for Southern Africa .",South Africa,-26.2,28.0,none
Ramsay MacDonald becomes the first Labour Prime Minister of the United Kingdom .,United Kingdom,,,revolution or coup
"The first Winter Olympics , the 1924 Winter Olympics , open in Chamonix , in the French Alps .","Chamonix, French Alps",46.0,6.0,none
Petrograd in the Soviet Union is renamed Leningrad ; it will revert to Saint Petersburg in 1991 .,"Petrograd/Leningrad, Soviet Union",59.9,30.3,none
The United Kingdom recognizes the Soviet Union .,,,,none
"GMT : A radio time signal is broadcast for the first time, from the Royal Greenwich Observatory .","Royal Greenwich Observatory, United Kingdom",51.5,0.0,none
"The Computing-Tabulating-Recording Company (CTR), based in the U.S. state of New York, is renamed International Business Machines (IBM) .","New York, United States",40.7,-74.0,none
"The Ottoman Caliphate , a remnant of the Ottoman monarchy abolished on November 1, 1922 and one of the historical claims of succession to the Islamic State of Muhammad , comes to an end with the deposition of the Caliph of the Ottoman dynasty . This marks the end of an era, giving way to the drastic political transformations of Turkey introduced by reforms because of the President Mustafa Kemal Atatürk .",Turkey,39.9,32.9,revolution or coup
İsmet İnönü forms a new government in Turkey (2nd government).,Turkey,41.0,28.0,revolution or coup
"Horacio Vásquez wins the Dominican Republic general election , becoming president, coinciding with the end of United States military occupation .",Dominican Republic,19.0,-70.6,revolution or coup
Jean Sibelius conducts the world premiere of his Symphony No. 7 in Stockholm .,Stockholm,59.3,18.0,none
The Second Hellenic Republic is proclaimed in Greece.,Greece,39.0,22.0,revolution or coup
"In France, the Third Ministry of Raymond Poincaré begins.",France,48.9,2.3,none
"Italian general election, 1924 : Fascists win the elections in Italy with a two-thirds majority.",Italy,41.9,12.5,revolution or coup
The Greek republic referendum favors formation of the Second Hellenic Republic .,Greece,39.0,22.0,revolution or coup
"Metro Pictures Corporation , Goldwyn Pictures and Louis B. Mayer Productions are merged to become Metro-Goldwyn-Mayer .",,,,purchase or sale of territory
"The British Empire Exhibition opens in London; it is the largest colonial exhibition , with 58 countries of the empire dramatically represented.","London, United Kingdom",51.5,-0.1,none
"The 1924 Summer Olympics opening ceremonies are held in Paris, France.","Paris, France",48.8566,2.3522,none
"Lithuania signs the Klaipėda Convention with the nations of the Conference of Ambassadors , taking the Klaipėda Region from East Prussia and making it into an autonomous region.","Klaipėda Region, Lithuania",55.57,21.12,purchase or sale of territory
"In the United States, J. Edgar Hoover is appointed head of the Federal Bureau of Investigation .",United States,37.0,-95.7,none
Mercedes-Benz is formed by the merging of companies owned by Gottlieb Daimler and Karl Benz .,,,,none
"Harry Grindell Matthews attempts to demonstrate his "" death ray "" to the War Office in the United Kingdom.",United Kingdom,55.0,-3.0,none
"The Immigration Act of 1924 , commonly known as the Johnson-Reed Act , becomes effective. The act modifies the National Origins Quotas introduced in the Immigration Act of 1921 .",,,,financial reform
Italian socialist leader Giacomo Matteotti speaks out against Fascism . A few days later he is kidnapped and murdered in Rome.,"Rome, Italy",41.9,12.5,revolution or coup
"U.S. President Calvin Coolidge signs the Indian Citizenship Act into law, granting citizenship to all Native Americans born within the territorial limits of the United States.",United States,38.9,-77.0,none
"Ernst Alexanderson sends the first facsimile across the Atlantic Ocean , which goes to his father in Sweden .",Sweden,58.0,11.4,none
16 – Rudolf Steiner delivers his Agriculture Course at Koberwitz beginning of the organic agriculture movement.,Koberwitz,49.6,16.8,religious reform
"George Mallory and Andrew Irvine are last seen ""going strong for the top"" of Mount Everest by teammate Noel Odell at 12:50 P.M. The two mountaineers are never seen alive again.",Mount Everest,27.9881,86.925,none
"In Hungary, a devastating tornado , ""Wildkansas"", strikes, in 3 hours leaving a 500–1500m wide and 70 km long path of destruction from landfall at Bia to its end near Vác , completely destroying the village of Páty . 9 people are killed, 50 injured and many left homeless by one of the strongest tornadoes ever not only in Hungary but in Europe, estimated as F 4.",Hungary,47.5,19.1,cataclysm or fire
J. B. M. Hertzog becomes the third Prime Minister of South Africa .,South Africa,-26.2,28.0,none
"Paavo Nurmi of Finland wins the 1,500 and 5,000 m runs within two hours at the Paris Olympics .","Paris, France",48.8566,2.3522,none
"United States occupation of the Dominican Republic (1916–24) comes to an end. The constitutional government headed by General Horacio Vázquez , elected in the elections held in March, is established.",Dominican Republic,18.7,-70.1,none
Napalpí massacre : Around 400 indigenous people of Toba ethnicity are massacred in Argentina .,Argentina,-34.0,-64.0,war
"The Dawes Plan is signed in Paris, temporarily resolving German reparations dispute.","Paris, France",48.8584,2.2945,financial reform
"August Uprising : Georgia rises against rule by the Soviet Union in an abortive rebellion, in which several thousands die.",Georgia,41.7,44.7,revolution or coup
11 – The Kohat riots break out in India.,India,24.4,73.8,revolution or coup
U.S. Army pilots John Harding and Erik Nelson complete the first aerial circumnavigation of the globe. It has taken them 175 days and 74 stops before their return to Seattle .,"Seattle, United States",47.6,-122.3,none
"The Geneva Protocol is adopted by the League of Nations Assembly as a means to strengthen the League, but later fails to be ratified.","Geneva, Switzerland",46.2,6.1,none
1-RO begins regular radio broadcasting services in Italy.,Italy,41.9,12.5,none
"Municipal Grant Park Stadium, in Chicago , Illinois (now known as Soldier Field ) is officially dedicated.","Chicago, Illinois",41.878,-87.629,none
"Voting in federal elections becomes compulsory in Australia, after a private member's bill proposed by Tasmanian Nationalist senator Herbert Payne results in the passing of the Commonwealth Electoral (Compulsory Voting) Act 1924.",Australia,-25.0,133.0,financial reform
"15 – Zeppelin LZ-126 makes a transatlantic delivery flight from Friedrichshafen , Germany, to Lakehurst, New Jersey .","Friedrichshafen, Germany; Lakehurst, New Jersey",PARSE_ERROR,PARSE_ERROR,none
"The first Surrealist Manifesto is published, in which André Breton defines the movement as ""pure psychic automatism "".",,,,none
"Sweden's Prime Minister Ernst Trygger and his cabinet, is replaced by Hjalmar Branting and his third and last government.",Sweden,58.0,11.4,dynasty change
"Abdul Aziz , founder of Saudi Arabia , declares himself protector of holy places in Mecca .",Mecca,21.4,39.8,dynasty change
The Uzbek SSR joins the Soviet Union.,Uzbek SSR,41.0,67.0,none
"The Trial of the 149 begins in Estonia , eventually resulting in the conviction of 129 communists, including several members of the Riigikogu .",Estonia,58.6,26.7,revolution or coup
"Major-General Sir Lee Stack , British Governor-General of the Anglo-Egyptian Sudan and Sirdar of the Egyptian Army, is shot in Cairo by a gang of Egyptian nationalist students, dying the following day.",Cairo,30.0,31.2,terrorist act
Ali Fethi Okyar forms a new government in Turkey (3rd government).,Turkey,41.0,28.0,revolution or coup
The Mongolian People's Republic is proclaimed.,Mongolia,46.8,103.8,revolution or coup
A Soviet-backed communist 1924 Estonian coup d'état attempt fails in Estonia .,Estonia,59.0,26.0,revolution or coup
German serial killer Fritz Haarmann is sentenced to death for the murder and dismemberment of at least 24 young males in Hanover .,"Hanover, Germany",52.35,9.72,none
"In Germany, Adolf Hitler is released from Landsberg Prison after serving nine months for his crucial role in the Beer Hall Putsch of 1923 .",Germany,51.0,10.0,revolution or coup
"American astronomer Edwin Hubble announces that Andromeda , previously believed to be a nebula , is actually another galaxy , and that the Milky Way is only one of many such galaxies in the universe .",,,,none
"The Syrian Federation is officially dissolved, the State of Aleppo and the State of Damascus having been replaced by the State of Syria .",Syria,35.0,37.0,none
Benito Mussolini makes a pivotal speech in the Italian Chamber of Deputies which will be regarded by historians as the beginning of his dictatorship.,"Rome, Italy",41.9,12.5,revolution or coup
"Nellie Tayloe Ross becomes the first female governor (Wyoming) in the United States. Twelve days later, Ma Ferguson becomes first female governor of Texas.",Wyoming,44.0,-106.0,none
"Hjalmar Branting resigns as Prime Minister of Sweden because of ill health, and is replaced by the minister of trade, Rickard Sandler .",Sweden,58.0,11.4,none
"February 1 – The 1925 serum run to Nome (the ""Great Race of Mercy"") relays diphtheria antitoxin by dog sled across the U.S. Territory of Alaska to combat an epidemic .","Alaska, U.S. Territory",64.8,-153.4,epidemic
Art Gillham records (for Columbia Records ) the first Western Electric masters to be commercially released.,,,,none
The 1925 Charlevoix–Kamouraska earthquake strikes northeastern North America.,northeastern North America,,,cataclysm or fire
New York City Fire Department Rescue 2 is put in service in Brooklyn .,"Brooklyn, New York City, United States",40.7,-73.9,cataclysm or fire
"Pionerskaya Pravda , one of the oldest children's newspapers in Europe, is founded in the Soviet Union .",Soviet Union,,,none
May 1 – Pink's War : The British Royal Air Force bombards mountain strongholds of Mahsud tribesmen in South Waziristan .,South Waziristan,34.0,70.0,war
"The Phi Lambda Chi fraternity (original name ""The Aztecs"") is founded on the campus of Arkansas State Teachers' College in Conway, Arkansas (the modern-day University of Central Arkansas ).","Conway, Arkansas",34.6,-92.4,none
"At 22:42 local time a 7.0 earthquake shakes the Chinese province of Yunnan killing 5,000 people.","Yunnan, China",24.0,100.0,cataclysm or fire
"The Tri-State Tornado , the deadliest in U.S. history, rampages through Missouri , Illinois and Indiana , killing 695 people and injuring 2,027. It hits the towns of Murphysboro, Illinois ; West Frankfort, Illinois ; Gorham, Illinois ; Ellington, Missouri ; and Griffin, Indiana .",United States,37.0,-90.0,cataclysm or fire
"Ravel's opera L'enfant et les sortilèges , to a libretto by Colette , is premiered at the Opéra de Monte-Carlo .",Monaco,43.7,7.4,none
The Bauhaus closes in Weimar and moves to a building in Dessau designed by Walter Gropius .,"Dessau, Germany",51.9,11.6,none
"In the United States: Frank Heath and his horse Gypsy Queen leave Washington, D.C. to begin a two-year journey to visit all 48 states. The Patent and Trademark Office is transferred to the Department of Commerce .",United States,37.0,-95.0,none
F. Scott Fitzgerald 's novel The Great Gatsby is published in New York.,"New York, United States",40.7,-74.0,none
"Fritz Haarmann , a serial killer convicted of the murder of 24 boys and young men, is guillotined in Germany.",Germany,51.0,10.0,none
"A communist assault on St Nedelya Church claims roughly 150 lives in Sofia, Bulgaria .","Sofia, Bulgaria",42.7,23.3,terrorist act
"Colo-colo , a well-known football club of Chile , is founded in Macul , suburb of Santiago .","Macul, Chile",33.45,-70.66,none
Iranian forces of Reza Shah occupy Ahvaz and arrest Sheikh Khazʽal Ibn Jabir .,"Ahvaz, Iran",26.0,50.7,none
"Presenting the Stanley Baldwin government's budget, Chancellor of the Exchequer Winston Churchill announces Britain's return to the gold standard .",Britain,55.4,-3.3,financial reform
"The General Election Law is passed in Japan, extending suffrage to all males aged 25 and over.",Japan,35.7,139.7,financial reform
African American Tom Lee rescues 32 people from the sinking steamboat M.E. Norman on the Mississippi River .,Mississippi River,37.0,-91.0,none
The first modern performance of Claudio Monteverdi 's opera Il ritorno d'Ulisse in patria (1639/40) takes place in Paris .,Paris,48.8566,2.3522,none
"The opera Doktor Faust , unfinished when composer Ferruccio Busoni died, is premiered in Dresden .",Dresden,51.0,13.7,none
English explorer Percy Fawcett sends a last telegram to his wife before he disappears in the Amazon .,Amazon,-3.7,-60.2,none
The Chrysler Corporation is founded as an automobile manufacturer by Walter Percy Chrysler in the United States.,United States,37.0,-95.7,none
"American engineer Charles Francis Jenkins achieves the first synchronized transmission of pictures and sound, using 48 lines and a mechanical system in ""the first public demonstration of radiovision"".",United States,39.0,-98.0,none
"The 6.8 M w Santa Barbara earthquake affects the central coast of California with a maximum Mercalli intensity of IX ( Violent ), destroying much of downtown Santa Barbara, California and leaving 13 people dead.","Santa Barbara, California",34.42,-119.67,cataclysm or fire
"21 – Scopes Trial : In a staged test case (the ""Monkey Trial"") in Dayton, Tennessee , United States, John T. Scopes , a young high school science teacher (technically arrested on May 5 and indicted on May 25) is accused of assigning a reading from a state-mandated textbook on Darwinian evolution in violation of a Tennessee state law, the "" Butler Act "". He is found guilty and fined $100, though the verdict is later overturned on a technicality. The trial makes explicit the fundamentalist–modernist controversy within the Presbyterian Church in the United States of America , with William Jennings Bryan (who dies on July 26) being challenged by the liberal Clarence Darrow .","Dayton, Tennessee, United States",36.18,-84.28,religious reform
Meher Baba begins his 44-year silence.,India,20.2,75.3,none
Adolf Hitler publishes Volume 1 of his personal manifesto Mein Kampf in Germany.,Germany,51.2,10.4,none
English racing motorist Malcolm Campbell becomes the first man to exceed 150 mph (241 km/h) on land when at Pendine Sands in Wales he drives a Sunbeam 350HP automobile at a two-way average speed of 150.33 mph (242 km/h).,"Pendine Sands, Wales",51.7,-4.0,none
The New Cape Central Railway between Worcester and Voorbaai is incorporated into the South African Railways .,South Africa,-30.0,24.0,none
"The Ku Klux Klan , the largest fraternal racist organization in the United States, demonstrates its popularity by holding a parade with an estimated 30,000-35,000 marchers in Washington, D.C.","Washington, D.C., United States",38.9,-77.0,none
The original Hetch Hetchy Moccasin Powerhouse in California is completed and goes on line.,"California, United States",37.9,-119.7,none
The French complete their evacuation of the Ruhr region of Germany.,"Ruhr region, Germany",51.5,7.0,none
Anthropologist Margaret Mead lands in American Samoa to begin nine months of field work that will culminate in her 1928 book Coming of Age in Samoa . The bestselling book will become the first popular anthropological study and will change many attitudes towards tribal peoples.,American Samoa,14.4,-170.7,none
"The U.S. Navy dirigible Shenandoah breaks up in a squall line near Caldwell, Ohio , killing 14 crewmen.","Caldwell, Ohio",40.4,-82.8,cataclysm or fire
"Feast of the Cross according to the Old Calendar : a celestial cross appears over Athens , Greece, while the Greek police pursues a group of Greek Old Calendarists . The phenomenon lasts for half an hour.","Athens, Greece",37.97,23.72,none
The US Congress grants permission for Gutzon Borglum to begin constructing Mount Rushmore National Memorial on federal land in South Dakota .,South Dakota,44.0,-100.0,none
"In London, UK, John Logie Baird successfully transmits the first television pictures with a greyscale image.","London, UK",51.5,-0.1,none
"S2 , a Finnish Sokol class torpedo boat , is sunk during a fierce storm near the coast of Pori in the Gulf of Bothnia , taking with her the whole crew of 53.","Pori, Gulf of Bothnia",61.2,22.8,cataclysm or fire
16 – The Locarno Treaties are negotiated.,"Locarno, Switzerland",46.9,7.5,none
Cubana de Aviación is founded.,Cuba,23.0,-82.0,none
Formal foundation date of the Schutzstaffel (SS) as a personal bodyguard for Adolf Hitler in Germany.,Germany,51.2,10.4,none
"The New Zealand and South Seas International Exhibition , a world's fair , opens in Dunedin , New Zealand.","Dunedin, New Zealand",45.87,170.42,none
"The silent film El Húsar de la Muerte is released in Santiago , Chile.","Santiago, Chile",33.0,-70.6,none
Prajadhipok (Rama VII) is crowned as King of Siam .,Siam (Thailand),13.7,100.5,dynasty change
"The weekly country music -variety radio programme Grand Ole Opry is first broadcast on WSM radio in Nashville, Tennessee , as the ""WSM Barn Dance"".","Nashville, Tennessee, United States",36.16,-86.78,none
"The Locarno Treaties are signed in London, intended to secure the post-war continental European territorial settlement.","London, United Kingdom",51.5,-0.1,purchase or sale of territory
"Pope Pius XI 's encyclical Quas primas , on the Feast of Christ the King , is promulgated.",Vatican City,41.9,12.5,religious reform
"The first motel in the world, the Milestone Mo-Tel (later the Motel Inn of San Luis Obispo), opens in San Luis Obispo , California .","San Luis Obispo, California",35.3,-120.5,none
Reza Shah takes the oath to become the first shah of Persia of the Pahlavi dynasty .,Persia (Iran),35.8,51.3,dynasty change
IG Farben is formed by the merger of six chemical companies in Germany.,Germany,51.2,10.4,none
Theodoros Pangalos declares himself dictator in Greece.,Greece,39.0,22.0,revolution or coup
A British Broadcasting Company radio play by Ronald Knox about workers' revolution in London causes a panic among those who have not heard the preliminary announcement that it is a satire on broadcasting.,"London, United Kingdom",51.5,-0.1,revolution or coup
The Belgian Parliament accepts the Locarno Treaties .,Belgium,50.8,4.4,none
Scottish inventor John Logie Baird demonstrates a mechanical television system at his London laboratory for members of the Royal Institution and a reporter from The Times .,"London, United Kingdom",51.5,-0.1,none
British and Belgian troops leave Cologne .,Cologne,50.9333,6.9333,none
Land on Broadway and Wall Street in New York City is sold at a record $7 per sq inch; it is only affordable for four more years.,"New York City, United States",40.7,-74.0,purchase or sale of territory
"The Irish minister for Justice, Kevin O'Higgins , appoints the Committee on Evil Literature .",Ireland,53.5,-6.2,none
The Berlin International Green Week debuts in Germany.,Germany,52.5,13.4,none
Francisco Franco becomes General in Spain.,Spain,40.5,-3.7,revolution or coup
The El Virilla train accident occurs in Costa Rica killing 248 people and injuring 93.,Costa Rica,9.9,-83.8,cataclysm or fire
"Robert H. Goddard launches the first liquid-fuel rocket , at Auburn, Massachusetts .","Auburn, Massachusetts",42.4,-71.8,none
Éamon de Valera organises the political party Fianna Fáil in Ireland.,Ireland,53.5,-6.2,revolution or coup
"Greek dictator Theodoros Pangalos wins the presidential election , with 93.3% of the vote; turnout is light, as the result is considered a foregone conclusion.",Greece,37.98,23.72,revolution or coup
"Aarón Joaquín has a vision in the Nuevo León state of Mexico, origin of La Luz del Mundo , a nontrinitarian charismatic restorationist Christian church.","Nuevo León, Mexico",25.6,-100.3,religious reform
An assassination attempt against Italian Fascist leader Benito Mussolini fails.,Italy,41.9,12.5,terrorist act
Zhang Zuolin 's army captures Beijing .,Beijing,39.9,116.4,revolution or coup
"Treaty of Berlin : Germany and the Soviet Union each pledge neutrality in the event of an attack on the other by a third party, for the next five years.","Berlin, Germany",52.5,13.4,none
"Reza Khan is crowned Shah of Iran , under the name ""Pahlevi"".",Iran,35.8,51.5,dynasty change
"A state of emergency is proclaimed in the United Kingdom under the Emergency Powers Act 1920 on account of the ""threat of cessation of work in Coal Mines"".",United Kingdom,55.4,-3.3,none
"The United Kingdom general strike begins at midnight, in support of a strike by coal miners.",United Kingdom,55.4,-3.3,revolution or coup
"Planes piloted by Major Harold Geiger and Horace Meek Hickam , students at the United States Air Corps Tactical School , collide in mid-air at Langley Field, Virginia.","Langley Field, Virginia, United States",37.1,-76.7,cataclysm or fire
14 – May Coup : Józef Piłsudski takes over in Poland.,Poland,52.0,20.8,revolution or coup
"Evangelist Aimee Semple McPherson disappears, while visiting a Venice, California beach.","Venice, California",34.0,-118.4,none
"The United States Congress passes the Air Commerce Act , licensing pilots and planes.",United States,38.9,-77.0,financial reform
The first Lebanese constitution is established.,Lebanon,33.8,35.8,none
"The Rif War ends, when Rif rebels surrender in Morocco .",Morocco,29.7,-5.8,war
"The 1926 coup d'état , commanded by Manuel Gomes da Costa in Portugal, installs the Ditadura Nacional (National Dictatorship), followed by António de Oliveira Salazar 's Estado Novo .",Portugal,40.8,-8.0,revolution or coup
Ignacy Mościcki becomes president of Poland .,Poland,52.2,21.0,none
Liberal politician Carl Gustaf Ekman succeeds Rickard Sandler as Prime Minister of Sweden .,Sweden,58.0,11.4,dynasty change
Lithuanian Radio launches its service from Kauno radiofonas .,"Kauno radiofonas, Lithuania",54.9,23.9,none
Arthur Meighen briefly returns to office as Prime Minister of Canada during the King-Byng Affair .,Canada,56.1,-105.9,revolution or coup
"The Kuomintang begins the Northern Expedition , a military unification campaign in northern China.",Northern China,39.5,116.5,revolution or coup
"A Caudron C.61 aircraft, operated by Compagnie Internationale de Navigation Aérienne , crashes in Czechoslovakia.",Czechoslovakia,49.0,18.0,cataclysm or fire
"In Portugal, General Óscar Carmona takes power in a military coup.",Portugal,39.4,-8.2,revolution or coup
A bolt of lightning strikes Picatinny Arsenal in New Jersey; the resulting fire causes several million pounds of explosives to blow up in the next 2–3 days.,"Picatinny Arsenal, New Jersey",40.5,-71.8,cataclysm or fire
Bombay Electric Supply and Transport Company in India introduces motor buses.,"Bombay, India",19.0,72.9,none
The United States National Bar Association is incorporated.,United States,38.9,-77.0,none
"In Mexico, the entry into force of anticlerical measures stipulated in the Constitution of 1917 causes the Cristero War from August 3.",Mexico,19.4,-99.1,revolution or coup
The short-lived Western Australian Secession League is founded.,Western Australia,26.7,115.9,revolution or coup
"In New York, the Warner Brothers ' Vitaphone system is seen by audiences for the first time, in the movie Don Juan , starring John Barrymore .","New York, United States",40.7,-74.0,none
"American Gertrude Ederle becomes the first woman to swim the English Channel , from France to England.",English Channel,50.5,-1.5,none
"In the United States, a weather map is televised for the first time, sent from NAA Arlington to the Weather Bureau office in Washington, D.C.",United States,38.9,-77.0,none
"In Greece, Georgios Kondylis ousts Theodoros Pangalos .",Greece,39.0,22.0,revolution or coup
"Pavlos Kountouriotis announces that dictatorship has ended in Greece, and he is now the president.",Greece,39.0,22.0,revolution or coup
"Lebanon under the French Mandate gets its first constitution, thereby becoming a republic, with Charles Debbas as its president.",Lebanon,33.8,35.8,dynasty change
The German Weimar Republic joins the League of Nations .,"Weimar, Germany",51.0,11.5,none
"In Rome, Italy, Gino Lucetti throws a bomb at Benito Mussolini's car, but Mussolini is unhurt.","Rome, Italy",41.9,12.5,terrorist act
"The Locarno Treaties of 1925 are ratified in Geneva , and come into effect.",Geneva,46.8,6.1,none
"Great Miami Hurricane : A strong hurricane devastates Miami , leaving over 100 dead and causing several hundred million dollars in damage (equal to nearly $100 billion in the modern day).","Miami, United States",25.8,-80.2,cataclysm or fire
"Giuseppe Meazza (San Siro) Stadium , well known among sports venues in Italy , officially opens in Milan .","Milan, Italy",45.5,9.2,none
"The North Side Gang attempts to assassinate Al Capone , at the apex of his power at this time, spraying his headquarters in Cicero, Illinois with over a thousand rounds of machine gun fire in broad daylight, as Capone is eating there. Capone escapes harm.","Cicero, Illinois",41.78,-87.67,terrorist act
"French war ace René Fonck and three others attempt to fly the Atlantic, in pursuit of the Orteig Prize . Before the newsreel cameras at Roosevelt Field New York, the modified Sikorsky S-35 crashes on take-off and bursts into flames. Fonck survives, but two of his men are killed.","Roosevelt Field, New York, United States",40.7,-73.6,cataclysm or fire
Gene Tunney defeats Jack Dempsey to become heavyweight boxing champion of the world.,,,,none
Józef Piłsudski becomes prime minister of Poland.,Poland,52.0,20.8,revolution or coup
British miners agree to end their strike.,United Kingdom,55.0,-4.0,none
"A. A. Milne 's children's book Winnie-the-Pooh is published in London, featuring the eponymous bear.","London, United Kingdom",51.5,-0.1,none
"An ammunition explosion on troopship Kuang Yuang near Jiujiang , China, kills 1,200.","Jiujiang, China",29.7,115.9,cataclysm or fire
The 1926 Imperial Conference opens in London.,"London, United Kingdom",51.5,-0.1,none
A hurricane kills 650 in Cuba .,Cuba,21.5,-80.0,cataclysm or fire
Magician Harry Houdini dies of gangrene and peritonitis that has developed after his appendix ruptured.,,,,none
"In San Francisco , a necrophiliac serial killer named Earle Nelson (dubbed ""Gorilla Man"") kills and then rapes his 9th victim, a boarding house landlady named Mrs. William Edmonds.",San Francisco,37.8,-122.4,none
"The United States Numbered Highway System , including U.S. Route 66 , is established.",United States,37.0,-95.0,none
The death penalty is re-established in Italy.,Italy,41.9,12.5,none
All Italian Communist deputies are arrested.,Italy,41.9,12.5,revolution or coup
"The restoration of Colonial Williamsburg begins in Williamsburg, Virginia , United States.","Williamsburg, Virginia, United States",37.2,-76.5,none
British prime minister Stanley Baldwin ends the state of emergency that had been declared due to the miners' strike.,United Kingdom,55.4,-3.3,none
English detective story writer Agatha Christie disappears from her home in Surrey; on December 14 she is found under her husband's mistress's surname at a Harrogate hotel.,"Surrey, United Kingdom",51.3,-0.7,none
"The Council for the Preservation of Rural England, later the Campaign to Protect Rural England (CPRE), is founded by Patrick Abercrombie to limit urban sprawl and ribbon development.",England,54.0,-2.0,none
Miina Sillanpää becomes Finland 's first female government minister.,Finland,60.5,24.5,none
1926 Lithuanian coup d'état : A democratically elected government is overthrown in Lithuania ; Antanas Smetona assumes power.,Lithuania,55.7,24.2,revolution or coup
"Turkey converts to the Gregorian calendar , making the next day January 1 , 1927 .",Turkey,39.9,32.9,calendar reform
Nicaraguan President Adolfo Díaz requests U.S. military assistance in the ongoing civil war . American peacekeeping troops immediately set up neutral zones in Puerto Cabezas and at the mouth of the Rio Grande to protect American and foreign lives and property.,Nicaragua,12.0,-85.0,war
"The British Broadcasting Company becomes the British Broadcasting Corporation , when its Royal Charter of incorporation takes effect. John Reith becomes the first Director-General.",United Kingdom,55.4,-3.0,none
"The Laurier Palace Theatre fire at a movie theatre in Montreal, Quebec, Canada, kills 78 children.","Montreal, Quebec, Canada",45.5,-73.5,cataclysm or fire
Fritz Lang 's futuristic film Metropolis is released in Germany.,Germany,51.2,10.4,none
"Louis B. Mayer , head of film studio Metro-Goldwyn-Mayer (MGM), announces the creation of the Academy of Motion Picture Arts and Sciences , at a banquet in Los Angeles, California.","Los Angeles, California",34.05,-118.25,none
"U.S. Marines invade Nicaragua by orders of President Calvin Coolidge , intervening in the Nicaraguan Civil War , and remaining in the country until 1933 .",Nicaragua,11.0,-85.5,war
"An attempted military coup in Lisbon , Portugal, is successfully put down.","Lisbon, Portugal",38.72,-9.14,revolution or coup
British troops land in Shanghai as a result of UK government concerns about the safety of residents in the British settlement.,Shanghai,31.2,121.4,war
"A magnitude 6.1 earthquake, with a maximum MSK intensity of VII–VIII (Very strong – Damaging), kills 50 in Yugoslavia .",Yugoslavia,44.0,21.7,cataclysm or fire
The U.S. Federal Radio Commission (later renamed the Federal Communications Commission ) begins to regulate the use of radio frequencies.,United States,38.9,-77.0,none
"A diamond rush in South Africa includes trained athletes, who have been hired by major companies to stake claims.",South Africa,-26.0,28.0,none
"1927 Kita Tango earthquake : A 7.0 M w earthquake kills at least 2,925 in the Toyooka and Mineyama areas of western Honshu , in Japan.","Toyooka and Mineyama areas of western Honshu, Japan",34.6,135.1,cataclysm or fire
"In New York City, the Roxy Theatre is opened by Samuel Roxy Rothafel .","New York City, United States",40.7,-74.0,none
Pan American World Airways is founded by Juan T. Trippe .,,,,none
"Nanking Incident : After six foreigners have been killed in Nanking , and it appears that Kuomintang and Chinese Communist Party forces will overrun the foreign consulates, warships of the U.S. Navy and the British Royal Navy fire shells and shoot to disperse the crowds.",Nanking,32.0,118.7,war
"Henry Segrave breaks the land speed record, driving the Sunbeam 1000 hp at Daytona Beach, Florida.","Daytona Beach, Florida, United States",29.0,-81.0,none
"Bell Telephone Co. transmits an image of Herbert Hoover (then the Secretary of Commerce), which becomes the first successful long distance demonstration of television.",,,,none
"The Kuomintang (Nationalist Chinese) set up a government in Nanking , China.","Nanking, China",32.0,118.7,revolution or coup
A banking crisis hits Japan.,Japan,35.7,139.7,financial reform
"May 5 – The Great Mississippi Flood of 1927 strikes 700,000 people, in the greatest natural disaster in American history through this time.",United States,38.9,-97.5,cataclysm or fire
"Cardiff City wins the FA Cup , beating Arsenal 1–0; it is the only time a team from outside England has won the competition.","Cardiff, Wales",51.48,-3.18,none
"The Australian Parliament convenes for the first time in Canberra , Australian Capital Territory . Previously, the Parliament had met in Melbourne , Victoria .","Canberra, Australian Capital Territory",35.3,149.1,none
"The Academy of Motion Picture Arts and Sciences , which will create the Academy Awards , is founded in the United States.",United States,37.0,-95.0,none
British police officers raid the office of the Soviet trade delegation in London.,"London, United Kingdom",51.5,-0.1,none
"U.S. Army aviation pioneer Major Harold Geiger dies in the crash of his Airco DH.4 airplane, at Olmsted Field, Pennsylvania .","Olmsted Field, Pennsylvania",40.0,-76.5,cataclysm or fire
"Bath School disaster : A series of violent attacks by a school official results in 45 deaths, mostly of children, in Bath Township, Michigan , United States.","Bath Township, Michigan, United States",42.65,-84.83,cataclysm or fire
"By the Treaty of Jeddah , the United Kingdom recognizes the sovereignty of Ibn Saud over the Kingdom of Hejaz and Nejd , the future Saudi Arabia .",Jeddah,21.3,39.2,purchase or sale of territory
"21 – Charles Lindbergh makes the first solo, nonstop transatlantic airplane flight, from New York City to Paris, France, in his single-engined aircraft, the Spirit of St. Louis .","New York City, France",PARSE_ERROR,PARSE_ERROR,none
"The 7.6 M w Gulang earthquake affects Gansu in northwest China with a maximum Mercalli intensity of XI ( Extreme ), leaving over 40,000 dead.","Gansu, China",37.5,102.5,cataclysm or fire
"Nearly 600 members of the American Institute of Electrical Engineers and the Institute of Radio Engineers view a live demonstration of television at the Bell Telephone Building in New York City, just over a year after John Logie Baird of Scotland had first demonstrated an electromechanical system to members of the Royal Society in London.","New York City, United States",40.7,-74.0,none
The United Kingdom cuts its diplomatic relations with the Soviet Union due to revelations of espionage and underground agitation.,United Kingdom,55.4,-3.0,none
Yugoslavia severs diplomatic relations with Albania .,Yugoslavia,45.0,20.0,none
